passage_id,question,passage
1997_117.txt_107,"Czy prowadzący skład celny jest odpowiedzialny za zapewnienie, aby towary złożone w składzie celnym nie zostały usunięte?","                               Art. 107.
Z zastrzeżeniem art. 108, prowadzący skład celny odpowiedzialny jest za:
    1) zapewnienie, aby towary złożone w składzie celnym nie zostały usunięte
      spod dozoru celnego,
    2) wykonywanie obowiązków wynikających ze składowania towarów objętych
      procedurą składu celnego,
    3) przestrzeganie warunków określonych w pozwoleniu i regulaminie funkcjonowania
      składu celnego.
                                    
"
2004_1807.txt_69,Jakie dokumenty obowiązany jest przechowywać przedsiębiorca?,"                                    Art. 69.
Przedsiębiorca jest obowiązany przechowywać wszystkie dokumenty niezbędne do
wykazania spełniania warunków wymaganych do wykonywania działalności
regulowanej.
 
"
1997_593.txt_14,Jak długo trwa kadencja organów okręgowych izb?,"                                   Art. 14.
1. Organami okręgowych izb są:
   1) okręgowy zjazd izby,
   2) okręgowa rada izby,
   3) okręgowa komisja rewizyjna,
   4) okręgowa komisja kwalifikacyjna,
   5) okręgowy sąd dyscyplinarny,
   6) okręgowy rzecznik odpowiedzialności zawodowej.
2. Kadencja organów okręgowych izb trwa 4 lata.
                                       
"
1996_147.txt_1,W jakim miesiącu odbył się powszechny spis rolny w 1996 roku?,"                                Art. 1.
Powszechny spis rolny 1996 roku, zwany dalej ""spisem"", będzie przeprowadzony
na terytorium  Rzeczypospolitej Polskiej w dniach od 13 do 25 czerwca 
1996 r., według stanu w dniu 12 czerwca 1996 r. o godz. 24{00}.
"
1997_557.txt_103,Czy skazani nie mogą kierować skarg do organów powołanych na podstawie ratyfikowanych przez Rzeczpospolitą Polską umów międzynarodowych dotyczących ochrony praw człowieka?,"                               Art. 103.
 § 1. Skazani, ich obrońcy i pełnomocnicy oraz właściwe organizacje pozarządowe
     mają prawo kierować skargi do organów powołanych na podstawie
     ratyfikowanych przez Rzeczpospolitą Polską umów międzynarodowych
     dotyczących ochrony praw człowieka. Korespondencja, w tych 
     sprawach, osób pozbawionych wolności, powinna być bezzwłocznie 
     przekazywana do adresata i nie podlega cenzurze.
 § 2. Przepis art. 8 § 3 stosuje się odpowiednio.
                                    
"
2001_1545.txt_129,Do czego obowiązany jest przewoźnik po przyjęciu ładunku na statek?,"                                    Art. 129.
 § 1. Przewoźnik obowiązany jest po przyjęciu ładunku na statek wydać załadowcy
     na jego żądanie konosament.
 § 2. Jeżeli poprzednio zostały wydane na ten ładunek kwity sternika, przewoźnik
     może uzależnić wydanie konosamentu od ich zwrotu.
                                        
"
2000_1072.txt_6,Jaką ustawą uregulowany jest spis ludności?,"                                    Art. 6.
1. Spis zostanie przeprowadzony łącznie z narodowym spisem powszechnym
  ludności i mieszkań uregulowanym ustawą z dnia 2 grudnia 1999 r. o narodowym
  spisie powszechnym ludności i mieszkań z 2002 r. (Dz.U. z 2000 r. Nr 1, poz.
  1 oraz Nr ..., poz. ...) przez rachmistrzów spisowych, z zastrzeżeniem art. 8
  ust. 1.
2. Udzielanie odpowiedzi na pytania zawarte w formularzu spisowym jest
  obowiązkowe.
                                       
"
2000_985.txt_37,Co muszą zawierać hasła referendalne ogłaszane w prasie drukowanej lub w telewizji?,"                                    Art. 37.
Informacje, komunikaty, apele i hasła referendalne ogłaszane w prasie drukowanej
lub w telewizji bądź radiu muszą zawierać wskazanie przez kogo są opłacane i od
kogo pochodzą. Odpowiedzialnym za umieszczenie tego wskazania jest redaktor w
rozumieniu ustawy z dnia 26 stycznia 1984 r. - Prawo prasowe (Dz.U. Nr 5, poz.
24, z 1988 r. Nr 41, poz. 324, z 1989 r. Nr 34, poz. 187, z 1990 r. Nr 29, poz.
173, z 1991 r. Nr 100, poz. 442, z 1996 r. Nr 114, poz. 542, z 1997 r. poz. 88,
poz. 554 i Nr 121, poz. 770 oraz z 1999 r. Nr 90, poz. 999).
"
1999_483.txt_85,W czyjej dyspozycji pozostaje fundusz nagród w służbie cywilnej?,"                                   Art. 85.
1. Członkom korpusu służby cywilnej za szczególne osiągnięcia w pracy
  zawodowej można przyznać nagrodę ze specjalnie utworzonego w tym celu
  funduszu nagród w służbie cywilnej.
2. Fundusz nagród, o którym mowa w ust. 1, w wysokości 3% planowanych
  wynagrodzeń osobowych pozostaje w dyspozycji dyrektorów generalnych urzędów
  i może być przez nich podwyższany w ramach posiadanych środków na
  wynagrodzenia.
"
1997_882.txt_5,Czy dyrektor regionalnej dyrekcji Lasów Państwowych jest organem właściwym w sprawach ochrony gruntów rolnych w obszarze parków narodowych?,"                                Art. 5.
Jeżeli przepisy niniejszej ustawy nie stanowią inaczej, właściwym w sprawach 
ochrony gruntów rolnych jest kierownik rejonowego urzędu rządowej administracji
ogólnej, a gruntów leśnych - dyrektor regionalnej dyrekcji Lasów Państwowych,
z wyjątkiem obszarów parków narodowych, gdzie organem właściwym 
jest dyrektor parku.
                               Rozdział 2
   Ograniczanie przeznaczania gruntów na cele nierolnicze i nieleśne
                                    
"
2001_1189.txt_16,W jakiej ustawie określona jest ochrona informacji kryminalnych?,"                                   Art. 16.
1. Informacje kryminalne gromadzone, przetwarzane i przekazywane podlegają
  ochronie określonej w ustawie z dnia 22 stycznia 1999 r. o ochronie
  informacji niejawnych.
2. Szef Centrum udostępnia informacje kryminalne zgromadzone w bazach danych
  jedynie podmiotom uprawnionym oraz podmiotom zagranicznym na zasadach
  określonych w niniejszej ustawie.
"
2001_499.txt_110,Na jakie cele może wydawać środki komitet wyborczy?,"                                  Art. 110.
1. Komitet wyborczy może pozyskiwać i wydatkować środki jedynie na cele
  związane z wyborami.
2. Komitet wyborczy partii politycznej może pozyskiwać i wydatkować środki
  od dnia wydania przez Państwową Komisję Wyborczą postanowienia o przyjęciu
  zawiadomienia, o którym mowa w art. 96 ust. 2.
3. Koalicyjny komitet wyborczy i komitet wyborczy wyborców mogą pozyskiwać i
  wydatkować środki od dnia wydania przez Państwową Komisję Wyborczą
  postanowienia o przyjęciu zawiadomienia, o którym mowa odpowiednio w art.
  97 ust. 7 albo w art. 98 ust. 4.
4. Zabrania się:
   1) pozyskiwania środków przez komitet wyborczy po dniu wyborów,
   2) wydatkowania środków przez komitet wyborczy po dniu złożenia
     sprawozdania, o którym mowa w art. 120.
"
2001_1403.txt_20,Co robi ambasador przy organizacji międzynarodowej?,"                                    Art. 20.
Ambasador przy organizacji międzynarodowej, zwanej dalej ""organizacją"", w
szczególności:
   1) reprezentuje Rzeczpospolitą Polską wobec organizacji,
   2) utrzymuje łączność między Rzecząpospolitą Polską a organizacją,
   3) prowadzi rokowania z organizacją i w ramach organizacji,
   4) zaznajamia się z działalnością prowadzoną przez organizację i przekazuje
     właściwym organom władzy publicznej Rzeczypospolitej Polskiej informację
     na temat jej działalności,
   5) zapewnia udział Rzeczypospolitej Polskiej w pracach organizacji,
   6) chroni interesy Rzeczypospolitej Polskiej, jej obywateli oraz polskich
     osób prawnych w stosunkach z organizacją,
   7) popiera realizację celów i zasad organizacji przez współpracę z
     organizacją i w ramach organizacji,
   8) uczestniczy, poza granicami Rzeczypospolitej Polskiej oraz w zakresie
     przedmiotu działalności organizacji, w czynnościach przedstawicieli
     organów władzy publicznej w zakresie prowadzonych przez nich negocjacji i
     podejmowanych działań, zapewnia  współdziałanie tych przedstawicieli, dba
     o zgodność ich czynności z założeniami polskiej polityki zagranicznej, a
     także udziela im pomocy i współdziała z nimi w zakresie ich zadań w
     stosunkach z organizacją.
                                        
"
2000_696.txt_22,Za czyim zezwoleniem może nastąpić umieszczenie urządzeń lub obiektów nie związanych z gospodarką drogową na obiektach mostowych?,"                                  Art. 22.
W ustawie z dnia 29 czerwca 1963 r. o zagospodarowaniu wspólnot gruntowych
(Dz. Nr 28, poz. 169, z 1982 r. Nr 11, poz. 80, z 1990 r. Nr 34, poz. 198 i z
1995 r. Nr 141, poz. 692) wprowadza się następujące zmiany:
1) w art. 8:
   a) ust. 1-3 otrzymują brzmienie:
     ""1. Starosta ustala, stosownie do przepisów art. 1 i 3, które
       nieruchomości stanowią wspólnotę gruntową bądź mienie gromadzkie.
      2. Wykaz uprawnionych do udziału we wspólnocie gruntowej oraz wykaz
       obszarów gospodarstw przez nich posiadanych i wielkość
       przysługujących im udziałów we wspólnocie ustala, w drodze decyzji,
       starosta. Dla obszarów gmin projekty takich wykazów sporządzają
       wójtowie (burmistrzowie, prezydenci miast).
      3. Jeżeli wspólnota gruntowa położona jest na obszarze dwu lub
       więcej powiatów, wojewoda określa, który ze starostów będzie właściwy
       w sprawach wymienionych w ust. 1 i 2."",
   b) w ust. 6 wyrazy ""lokalu prezydium gromadzkiej rady narodowej bądź
     miejskiej (dzielnicowej) rady narodowej lub rady narodowej osiedla""
     zastępuje się wyrazami ""urzędzie gminy"";
2) w art. 9 w ust. 2 wyrazy ""gromady (miasta, osiedla)"" zastępuje się
  wyrazem ""gminy"";
3) w art. 15 wyrazy ""ustalą Ministrowie Rolnictwa oraz Leśnictwa i
  Przemysłu Drzewnego"" zastępuje się wyrazami ""ustali minister właściwy do
  spraw rolnictwa"";
4) użyte w art. 18 w ust. 1, w art. 21 w ust. 6, w art. 23, w art. 25 w
  ust. 1-3, w art. 26 w ust. 1 i w art. 27 w ust. 2 w różnych przypadkach
  wyrazy ""do spraw rolnych i leśnych organ prezydium powiatowej rady
  narodowej"" zastępuje się użytymi w odpowiednich przypadkach wyrazami
  ""zarząd gminy"";
5) art. 24 otrzymuje brzmienie:
      ""Art. 24. 1.W terminie oznaczonym w statucie spółki organy spółki są
             obowiązane przedstawić właściwemu zarządowi gminy do
             zatwierdzenia plan zagospodarowania i regulamin użytkowania
             gruntów i urządzeń spółki. Jeżeli zagospodarowanie dotyczy
             gruntów określonych w art. 6 ust. 2 - organy spółki
             przedstawiają staroście do zatwierdzenia uproszczony plan
             zagospodarowania takich gruntów, po wcześniejszym uzyskaniu
             opinii właściwego terytorialnie nadleśniczego.
         2. Zarządy gmin oraz starostowie są uprawnieni do wprowadzenia
           w przedstawionych planach oraz w regulaminie zmian i uzupełnień
           uzasadnionych względami gospodarczymi."";
6) w art. 26 ust. 2 otrzymuje brzmienie:
     ""2. W razie sprzedaży nieruchomości stanowiącej wspólnotę gruntową,
       gminie przysługuje prawo pierwokupu."".
                                      
"
1995_1.txt_53,Kto opłaca obowiązkowe składki na fundusz pracy?,"                                Art. 53.
 1. Obowiązkowe składki na Fundusz Pracy, ustalone od kwot stanowiących 
   podstawę wymiaru składek na ubezpieczenie społeczne lub zaopatrzenie 
   emerytalne, wynoszących co najmniej połowę najniższego wynagrodzenia, 
   opłacają:
   1) pracodawcy oraz inne jednostki organizacyjne za osoby:
       a) pozostające w stosunku pracy lub stosunku służbowym,
       b) wykonujące pracę na podstawie umowy o pracę nakładczą, umowy
         agencyjnej lub umowy zlecenia oraz za osoby z nimi współpracujące,
       c) wykonujące pracę w okresie odbywania kary pozbawienia wolności,
       d) pobierające stypendia sportowe,
       e) będące członkami zespołów adwokackich,
   2) rolnicze spółdzielnie produkcyjne i spółdzielnie kółek rolniczych (usług 
     rolniczych) za swoich członków, z wyjątkiem członków, którzy wnieśli 
     wkład gruntowy o powierzchni użytków rolnych powyżej 2 ha przeliczeniowych,
   3) inne niż wymienione w pkt 1 i 2 osoby podlegające ubezpieczeniu społecznemu
     lub zaopatrzeniu emerytalnemu, z wyjątkiem osób duchownych
     i osób podlegających ubezpieczeniu społecznemu rolników.
 2. Wysokość składki, o której mowa w ust. 1, określa ustawa budżetowa.
 3. W przypadku gdy kwoty, o których mowa w ust. 1, pochodzą z różnych 
   źródeł, obowiązek opłacania składek na Fundusz Pracy powstaje wtedy, 
   gdy łączna kwota stanowiąca podstawę wymiaru składek na ubezpieczenie 
   społeczne wynosi co najmniej połowę najniższego wynagrodzenia.
 4. Osoba, do której ma zastosowanie przepis ust. 3, składa stosowne oświadczenie
   każdemu pracodawcy bądź w oddziale Zakładu Ubezpieczeń Społecznych,
   jeżeli sama opłaca składki na ubezpieczenie społeczne.
 
"
2004_877.txt_44,"Kto określi wykaz przejść granicznych, na ktrych może być dokonywana kontrola graniczna środków żywienia zwierząt?","      Art. 44l. 1. W przypadku stwierdzenia, że środek żywienia zwierząt lub
             pasza lecznicza niespełniające wymagań określonych w ustawie
             stwarzają poważne zagrożenie dla zdrowia ludzi, zwierząt oraz dla
             środowiska, powiatowy lekarz weterynarii informuje o tym
             niezwłocznie Głównego Lekarza Weterynarii.
         2. W informacji, o której mowa w ust. 1, powiatowy lekarz weterynarii
           podaje informacje, o których mowa w art. 44g ust. 1, oraz informacje
           pozwalające zidentyfikować zwierzęta, które były karmione danym
           środkiem żywienia zwierząt lub paszą leczniczą.
         3. Główny Lekarz Weterynarii niezwłocznie przekazuje informację, o
           której mowa w ust. 1, Komisji Europejskiej, wskazując podjęte albo
           przewidywane działania w tym zakresie.
         4. Przepisy ust. 1-3 stosuje się odpowiednio do środków żywienia
           zwierząt oraz pasz leczniczych pochodzących z państw trzecich, które
           zostały przywiezione na terytorium państw członkowskich Unii
           Europejskiej w celu wprowadzenia ich do obrotu.
         5. W przypadku ustania zagrożenia, o którym mowa w ust. 1, Główny
           Lekarz Weterynarii informuje o tym Komisję Europejską i inne państwa
           członkowskie Unii Europejskiej.
"
1997_714.txt_44,Jakiemu obniżeniu ulega kwartalna stawka ryczałtu?,"                                   Art. 44.
1. Kwartalna stawka ryczałtu ulega obniżeniu o kwotę składki na powszechne
  ubezpieczenie zdrowotne, opłaconej zgodnie z przepisami o powszechnym
  ubezpieczeniu zdrowotnym, bezpośrednio przez osobę duchowną w kwartale za
  jaki uiszczany jest ryczałt, o ile składka ta nie została odliczona od
  podatku dochodowego.
2. Kwota składki na powszechne ubezpieczenie zdrowotne, o którą zmniejsza się
  stawkę ryczałtu od przychodów osób duchownych, nie może przekroczyć 7,5%
  podstawy wymiaru tej składki, określonej w odrębnych przepisach.
3. Wysokość wydatków na cele, o których mowa w ust. 1, ustala się na
  podstawie dokumentów stwierdzających ich poniesienie.
4. Do dnia 31 stycznia roku następującego po roku podatkowym, osoba duchowna
  jest obowiązana złożyć w urzędzie skarbowym właściwym według miejsca
  wykonywania funkcji o charakterze duszpasterskim roczną informację, według
  ustalonego wzoru, o wysokości składki na ubezpieczenie zdrowotne,
  zapłaconej i odliczonej od ryczałtu w poszczególnych kwartałach.
                                       
"
2001_1083.txt_67,Po upływie jakiego czasu następuje usunięcie z urzędu wzmianki o orzeczeniu dyscyplinarnym z Rejestru Ukaranych?,"                                    Art. 67.
1. Krajowa Rada prowadzi Rejestr Ukaranych Diagnostów Laboratoryjnych zwany
  dalej ""Rejestrem Ukaranych"".
2. Usunięcie wzmianki o orzeczeniu dyscyplinarnym z Rejestru Ukaranych
  następuje z urzędu po upływie:
   1) 3 lat od uprawomocnienia się orzeczenia dyscyplinarnego orzekającego karę
     upomnienia lub nagany,
   2) 5 lat od upływu okresu zawieszenia prawa do wykonywania zawodu diagnosty
     laboratoryjnego.
3. Nie usuwa się wzmianki o karze pozbawienia prawa do wykonywania zawodu
  diagnosty laboratoryjnego.
                                        
"
2000_1250.txt_7,Jakie zezwolenia wydaje się na obrót towarem podwójnego zastosowania?,"                                    Art. 7.
1. Na obrót towarem podwójnego zastosowania wydaje się zezwolenia:
   1) indywidualne "" obejmujące określony towar podwójnego zastosowania lub
     usługę dotyczącą takiego towaru oraz kraj lub kraje, z którymi może być
     prowadzony obrót przez określonego przedsiębiorcę,
   2) generalne "" obejmujące typ lub kategorię towarów podwójnego zastosowania,
     którymi może być prowadzony obrót z jednym lub większą liczbą określonych
     krajów,
   3) globalne "" obejmujące typ lub kategorię towarów podwójnego zastosowania,
     którymi może być prowadzony obrót, bez określenia kraju, z którym obrót
     taki może nastąpić.
2. Na obrót uzbrojeniem lub wykonywanie usług w tym zakresie wydaje się
  wyłącznie zezwolenia indywidualne.
"
1994_369.txt_35,Jaki związek tworzą banki spółdzielcze?,"                                Art. 35.
 1. Banki spółdzielcze tworzą związek rewizyjny.
 2. Przynależność banków spółdzielczych do związku rewizyjnego jest obowiązkowa.
 
"
